artist,track_name,mbid,danceability_prob,danceability_value,gender_prob,gender_value,genre_dortmund_prob,genre_dortmund_value,genre_electronic_prob,genre_electronic_value,genre_rosamerica_prob,genre_rosamerica_value,genre_tzanetakis_prob,genre_tzanetakis_value,ismir04_rhythm_prob,ismir04_rhythm_value,mood_acoustic_prob,mood_acoustic_value,mood_aggressive_prob,mood_aggressive_value,mood_electronic_prob,mood_electronic_value,mood_happy_prob,mood_happy_value,mood_party_prob,mood_party_value,mood_relaxed_prob,mood_relaxed_value,mood_sad_prob,mood_sad_value,moods_mirex_prob,moods_mirex_value,timbre_prob,timbre_value,tonal_atonal_prob,tonal_atonal_value,voice_instrumental_prob,voice_instrumental_value,gender_male,gender_female,mood_acoustic_acoustic,mood_acoustic_non_acoustic,mood_aggressive_aggressive,mood_aggressive_non_aggressive,mood_electronic_electronic,mood_electronic_non_electronic,mood_happy_happy,mood_happy_not_happy,mood_party_party,mood_party_not_party,mood_relaxed_relaxed,mood_relaxed_not_relaxed,mood_sad_sad,mood_sad_not_sad,timbre_bright,timbre_dark,tonal_atonal_tonal,tonal_atonal_atonal,voice_instrumental_voice,voice_instrumental_instrumental,danceability_danceable,danceability_not_danceable,genre_electronic,genre_ambient,genre_pop,genre_jaz,genre_house,genre_hip,genre_roc,genre_rhy,genre_trance,genre_dan,genre_folkcountry,genre_dnb,genre_raphiphop,genre_techno
Daft Punk,Get Lucky (feat. Pharrell Williams and Nile Rodgers),3cd1aed4-1a9e-48a0-b174-8c7289d2ca99,0.8771930933,danceable,0.964331686497,male,0.873614490032,electronic,0.461681306362,ambient,0.323625504971,pop,0.313974827528,jaz,0.335863173008,VienneseWaltz,0.982072412968,not_acoustic,0.526535987854,aggressive,0.716874778271,electronic,0.976920306683,not_happy,0.788658738136,party,0.753443837166,not_relaxed,0.880391955376,not_sad,0.585064828396,Cluster5,0.988925874233,dark,0.918066382408,atonal,0.733633637428,instrumental,0.964331686497,0.0,0.0,0,0.526535987854,0,0.716874778271,0,0.0,0.976920306683,0.788658738136,0.0,0.0,0.753443837166,0.0,0.880391955376,0.0,0.988925874233,0.0,0.918066382408,0.0,0.733633637428,0.8771930933,0.0,0.4428081525620858,0.2340119682940689,0.16403575445838986,0.15914412468545544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Daft Punk,"Harder, Better, Faster, Stronger",e00bb9fe-f439-480d-ba25-47c625c9840b,0.591991841793,danceable,0.572331905365,female,0.930858969688,electronic,0.4263625741,house,0.361315488815,pop,0.313974827528,jaz,0.296022474766,ChaChaCha,0.810807108879,acoustic,0.527374923229,not_aggressive,0.915633440018,electronic,0.858257174492,not_happy,0.597522139549,party,0.80018466711,relaxed,0.786449730396,not_sad,0.466938614845,Cluster5,0.96175557375,dark,0.848000586033,atonal,0.854799389839,instrumental,0.0,0.572331905365,0.810807108879,0,0.0,0,0.915633440018,0,0.0,0.858257174492,0.597522139549,0.0,0.80018466711,0.0,0.0,0.786449730396,0.0,0.96175557375,0.0,0.848000586033,0.0,0.854799389839,0.591991841793,0.0,0.4579845205075478,0.0,0.17776796086774738,0.15447625850889926,0.20977126011580569,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Daft Punk,Something About Us,4996a019-cfa6-44b2-8305-b9dffc5733ff,0.887184619904,danceable,0.551374554634,female,0.924140274525,electronic,0.616146326065,house,0.489410579205,pop,0.313974827528,jaz,0.476405024529,ChaChaCha,0.929441332817,not_acoustic,0.622866749763,not_aggressive,0.770478367805,electronic,0.558440804482,happy,0.733998060226,party,0.632555425167,not_relaxed,0.714513599873,not_sad,0.340824633837,Cluster2,0.894480586052,bright,0.903340220451,atonal,0.996948361397,instrumental,0.0,0.551374554634,0.0,0,0.0,0,0.770478367805,0,0.558440804482,0.0,0.733998060226,0.0,0.0,0.632555425167,0.0,0.714513599873,0.894480586052,0.0,0.0,0.903340220451,0.0,0.996948361397,0.887184619904,0.0,0.39431297196768417,0.0,0.20882212940880618,0.13396705108349602,0.2628978475400138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Drake,God's Plan,841bb140-860a-44d6-b212-84ffeb7d8fdc,0.995114862919,danceable,0.838244259357,female,0.999322712421,electronic,0.44399830699,house,0.902134954929,hip,0.305054485798,roc,0.340388387442,VienneseWaltz,0.990495204926,not_acoustic,0.993512928486,not_aggressive,0.96088039875,electronic,0.888862907887,not_happy,0.605281054974,party,0.589881718159,relaxed,0.656309068203,not_sad,0.622121989727,Cluster5,0.830932855606,dark,0.974781632423,atonal,0.892185807228,voice,0.0,0.838244259357,0.0,0,0.0,0,0.96088039875,0,0.0,0.888862907887,0.605281054974,0.0,0.589881718159,0.0,0.0,0.656309068203,0.0,0.830932855606,0.0,0.974781632423,0.892185807228,0.0,0.995114862919,0.0,0.37703028433585956,0.0,0.0,0.0,0.16751426325889052,0.3403627220101708,0.11509273039507914,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Drake,Not You Too (feat. Chris Brown),d9020bff-5325-43da-9465-25f8b5e2f79f,0.598668813705,danceable,0.964654564857,male,0.992804884911,electronic,0.684271395206,ambient,0.766515672207,rhy,0.318289935589,jaz,0.319348812103,Tango,0.929839253426,not_acoustic,1.0,not_aggressive,0.968797504902,electronic,0.828000605106,not_happy,0.988507032394,not_party,0.811554133892,relaxed,0.552620947361,sad,0.296215623617,Cluster3,0.855574548244,dark,0.964598655701,atonal,0.997355937958,voice,0.964654564857,0.0,0.0,0,0.0,0,0.968797504902,0,0.0,0.828000605106,0.0,0.988507032394,0.811554133892,0.0,0.552620947361,0.0,0.0,0.855574548244,0.0,0.964598655701,0.997355937958,0.0,0.598668813705,0.0,0.3594668147308817,0.247755488096946,0.0,0.11524386215860735,0.0,0.0,0.0,0.27753383501356504,0.0,0.0,0.0,0.0,0.0,0.0
Drake,She Will,9ce9a47d-2cd7-42f4-9b8b-27bb2c40b31d,0.99996984005,danceable,0.655090272427,female,0.999953567982,electronic,0.813798427582,trance,0.426868140697,hip,0.313974827528,jaz,0.228220880032,ChaChaCha,0.997458457947,not_acoustic,0.848638772964,not_aggressive,0.865995407104,electronic,0.598789691925,happy,0.686617970467,party,0.507822036743,relaxed,0.74272108078,not_sad,0.382777363062,Cluster5,0.562415897846,bright,0.98394459486,atonal,0.9264793396,voice,0.0,0.655090272427,0.0,0,0.0,0,0.865995407104,0,0.598789691925,0.0,0.686617970467,0.0,0.507822036743,0.0,0.0,0.74272108078,0.562415897846,0.0,0.0,0.98394459486,0.9264793396,0.0,0.99996984005,0.0,0.3914333121908528,0.0,0.0,0.12290591345342257,0.0,0.16709816888696322,0.0,0.0,0.3185626054687614,0.0,0.0,0.0,0.0,0.0
Billie Eilish,when the party's over,ba7a88da-f864-4ead-9a63-36f92d10de46,0.993185937405,not_danceable,0.835667431355,female,0.904115855694,electronic,0.954822957516,ambient,0.455660879612,rhy,0.354596078396,roc,0.280565351248,Tango,0.980028271675,acoustic,0.99999165535,not_aggressive,0.948756754398,not_electronic,0.927183747292,not_happy,0.990870893002,not_party,0.979156196117,relaxed,0.878195226192,sad,0.633691191673,Cluster3,0.726025521755,bright,0.664975702763,tonal,0.998079776764,voice,0.0,0.835667431355,0.980028271675,0,0.0,0,0.0,0,0.0,0.927183747292,0.0,0.990870893002,0.979156196117,0.0,0.878195226192,0.0,0.726025521755,0.0,0.664975702763,0.0,0.998079776764,0.0,0.0,0.993185937405,0.3387221969415291,0.35771934296160596,0.0,0.0,0.0,0.0,0.13284753490906054,0.17071092518780448,0.0,0.0,0.0,0.0,0.0,0.0
Billie Eilish,Happier Than Ever,24134481-599d-4e30-bffd-3080739f3d58,0.645207762718,not_danceable,0.715484321117,female,0.999973416328,electronic,0.469057410955,house,0.789446771145,rhy,0.302772670984,roc,0.599616706371,VienneseWaltz,0.914294421673,not_acoustic,0.970483243465,not_aggressive,0.51797503233,electronic,0.707966566086,not_happy,0.89089936018,not_party,0.963647484779,relaxed,0.52132999897,not_sad,0.338112980127,Cluster5,0.918213546276,dark,0.944045066833,atonal,0.822978615761,voice,0.0,0.715484321117,0.0,0,0.0,0,0.51797503233,0,0.0,0.707966566086,0.0,0.89089936018,0.963647484779,0.0,0.0,0.52132999897,0.0,0.918213546276,0.0,0.944045066833,0.822978615761,0.0,0.0,0.645207762718,0.3904239379768105,0.0,0.0,0.0,0.18313610995253657,0.0,0.11821284104872311,0.30822711102192973,0.0,0.0,0.0,0.0,0.0,0.0
Eminem,The Real Slim Shady,19a35f90-6d5f-485c-a23a-2d299b87fbae,0.883440196514,danceable,0.653074979782,male,0.989125072956,electronic,0.788183093071,house,0.540567159653,rhy,0.313974827528,jaz,0.782756209373,ChaChaCha,0.824119567871,not_acoustic,0.75772613287,not_aggressive,0.897263884544,electronic,0.739545941353,happy,0.881225705147,party,0.820970356464,relaxed,0.650245666504,sad,0.271418571472,Cluster3,0.956609070301,bright,0.984877109528,atonal,0.887444019318,voice,0.653074979782,0.0,0.0,0,0.0,0,0.897263884544,0,0.739545941353,0.0,0.881225705147,0.0,0.820970356464,0.0,0.650245666504,0.0,0.956609070301,0.0,0.0,0.984877109528,0.887444019318,0.0,0.883440196514,0.0,0.3758287954769542,0.0,0.0,0.11929813980681672,0.2994787116243196,0.0,0.0,0.20539435309190945,0.0,0.0,0.0,0.0,0.0,0.0
Eminem,Till I Collapse,24a4a114-d8bd-4b36-8b51-51e94e73b780,0.985189914703,danceable,0.582776129246,male,0.987981855869,electronic,0.770357310772,house,0.591690182686,hip,0.769169807434,jaz,0.961371302605,ChaChaCha,0.995835661888,not_acoustic,0.814352929592,aggressive,0.961527645588,electronic,0.938900470734,not_happy,0.885576605797,party,0.989115297794,not_relaxed,0.937655031681,not_sad,0.433012783527,Cluster5,0.946766197681,dark,0.999999880791,atonal,0.627179026604,instrumental,0.582776129246,0.0,0.0,0,0.814352929592,0,0.961527645588,0,0.0,0.938900470734,0.885576605797,0.0,0.0,0.989115297794,0.0,0.937655031681,0.0,0.946766197681,0.0,0.999999880791,0.0,0.627179026604,0.985189914703,0.0,0.31674215278223145,0.0,0.0,0.24659207981856207,0.24697278758306182,0.18969297981614475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
